Vehicle,Confidance,Number Plate,Visit Count,Zone,Time
car,0.92,GJO3ER0563,2,Red,2024-02-28 17:00:26
tractor,0.74,P39S8889,1,Red,2024-02-28 17:01:42
auto,0.96,TN72AY5778,1,Red,2024-02-28 17:03:22
auto,0.96,5036TD00,1,Red,2024-02-28 17:04:33
car,0.6,TN35L4181,1,Red,2024-02-28 17:05:48
car,0.96,TN22C6J57,1,Red,2024-02-28 17:07:40
car,0.96,DL1N3219,1,Red,2024-02-28 17:10:39
car,0.97,AP9AE1188,1,Red,2024-02-28 17:11:16
motorcycle,0.6,KL6FLF09,1,Red,2024-02-28 17:16:45
motorcycle,0.59,L07EK89,1,Red,2024-02-28 17:20:02
